id,season_2019-2020,league,team_type,club,stadium,capacity,street,postcode,city,federal_state,latitude,longitude,homepage,wikipedia_de,wikipedia_en,openstreetmap_object
32,germany_league_2,2. Bundesliga,1,FC Erzgebirge Aue,Erzgebirgsstadion,16.458,Lößnitzer Straße,08280,Aue,SN,50.59782,12.71128,fc-erzgebirge.de,https://de.wikipedia.org/wiki/FC_Erzgebirge_Aue,https://en.wikipedia.org/wiki/FC_Erzgebirge_Aue,https://www.openstreetmap.org/way/440664813
33,germany_league_2,2. Bundesliga,1,SV Sandhausen,BWT-Stadion am Hardtwald,15.414,Jahnstraße 1,69207,Sandhausen,BW,49.33207,8.64772,svs1916.de,https://de.wikipedia.org/wiki/SV_Sandhausen,https://en.wikipedia.org/wiki/SV_Sandhausen,https://www.openstreetmap.org/way/223139712
34,germany_league_2,2. Bundesliga,1,VfL Osnabrück,Stadion an der Bremer Brücke,16.667,Scharnhorststraße 50,49084,Osnabrück,NI,52.28082,8.07129,vfl.de,https://de.wikipedia.org/wiki/VfL_Osnabrück,https://en.wikipedia.org/wiki/VfL_Osnabr%C3%BCck,https://www.openstreetmap.org/way/181867737
35,germany_league_2,2. Bundesliga,1,Karlsruhe SC,Wildparkstadion,18.163,Adenauerring 17,76131,Karlsruhe,BW,49.02002,8.41304,ksc.de,https://de.wikipedia.org/wiki/Karlsruher_SC,https://en.wikipedia.org/wiki/Karlsruher_SC,https://www.openstreetmap.org/way/87761383
36,germany_league_2,2. Bundesliga,1,SV Wehen Wiesbaden,Brita-Arena,12.566,Berliner Straße 9,65189,Wiesbaden,HE,50.07130,8.25657,svwehen-wiesbaden.de,https://de.wikipedia.org/wiki/SV_Wehen_Wiesbaden,https://en.wikipedia.org/wiki/SV_Wehen_Wiesbaden,https://www.openstreetmap.org/way/201467283
37,germany_league_3,3. Liga,1,FC Ingolstadt 04,Audi-Sportpark,15.200,Am Sportpark 1b,85053,Ingolstadt,BY,48.74546,11.48552,fcingolstadt.de,https://de.wikipedia.org/wiki/FC_Ingolstadt_04,https://en.wikipedia.org/wiki/FC_Ingolstadt_04,https://www.openstreetmap.org/way/67237986
38,germany_league_3,3. Liga,1,1. FC Magdeburg,MDCC-Arena,25.500,Heinz-Krügel-Platz 1,39114,Magdeburg,ST,52.12513,11.67079,1.fc-magdeburg.de,https://de.wikipedia.org/wiki/1._FC_Magdeburg,https://en.wikipedia.org/wiki/1._FC_Magdeburg,https://www.openstreetmap.org/way/28489919
39,germany_league_3,3. Liga,1,MSV Duisburg,Schauinsland-Reisen-Arena,31.500,Margaretenstraße 5–7,47055,Duisburg,NW,51.40901,6.77869,msv-duisburg.de,https://de.wikipedia.org/wiki/MSV_Duisburg,https://en.wikipedia.org/wiki/MSV_Duisburg,https://www.openstreetmap.org/way/23610764
40,germany_league_3,3. Liga,1,Hallescher FC,Erdgas Sportpark,15.057,Kantstraße 2,06110,Halle (Saale),ST,51.46534,11.96214,hallescherfc.de,https://de.wikipedia.org/wiki/Hallescher_FC,https://en.wikipedia.org/wiki/Hallescher_FC,https://www.openstreetmap.org/way/130575966
41,germany_league_3,3. Liga,1,Würzburger Kickers,flyeralarm Arena,13.090,Mittlerer Dallenbergweg 49,97082,Würzburg,BY,49.76720,9.93290,wuerzburger-kickers.de,https://de.wikipedia.org/wiki/Würzburger_Kickers,https://en.wikipedia.org/wiki/W%C3%BCrzburger_Kickers,https://www.openstreetmap.org/way/663167079
42,germany_league_3,3. Liga,1,Hansa Rostock,Ostseestadion,29.000,Kopernikusstraße 17,18057,Rostock,MV,54.08497,12.09512,fc-hansa.de,https://de.wikipedia.org/wiki/Hansa_Rostock,https://en.wikipedia.org/wiki/F.C._Hansa_Rostock,https://www.openstreetmap.org/way/33781737
43,germany_league_3,3. Liga,1,FSV Zwickau,Stadion Zwickau,10.134,Stadionallee 1,08066,Zwickau,SN,50.72854,12.51936,fsv-zwickau.de,https://de.wikipedia.org/wiki/FSV_Zwickau,https://en.wikipedia.org/wiki/FSV_Zwickau,https://www.openstreetmap.org/way/429317210
44,germany_league_3,3. Liga,1,SC Preußen 06 e. V. Münster,Preußenstadion,14.300,Hammer Straße 302,48153,Münster,NW,51.92985,7.62457,scpreussen-muenster.de,https://de.wikipedia.org/wiki/Preußen_Münster,https://en.wikipedia.org/wiki/SC_Preußen_Münster,https://www.openstreetmap.org/relation/1360363
45,germany_league_3,3. Liga,1,1. FC Kaiserslautern,Fritz-Walter-Stadion,49.850,Fritz-Walter-Straße 1,67663,Kaiserslautern,RP,49.43470,7.77643,fck.de,https://de.wikipedia.org/wiki/1._FC_Kaiserslautern,https://en.wikipedia.org/wiki/1._FC_Kaiserslautern,https://www.openstreetmap.org/way/27880400
46,germany_league_3,3. Liga,1,SpVgg Unterhaching,Sportpark Unterhaching,15.053,Am Sportpark 9,82008,Unterhaching,BY,48.07378,11.61584,spvggunterhaching.de,https://de.wikipedia.org/wiki/SpVgg_Unterhaching,https://en.wikipedia.org/wiki/SpVgg_Unterhaching,https://www.openstreetmap.org/way/4073020
47,germany_league_3,3. Liga,1,KFC Uerdingen 05,Merkur Spiel-Arena,54.600,Arena-Straße 1,40474,Düsseldorf,NW,51.26164,6.73314,kfc-uerdingen.de,https://de.wikipedia.org/wiki/KFC_Uerdingen_05,https://en.wikipedia.org/wiki/KFC_Uerdingen_05,https://www.openstreetmap.org/way/24547706
